source_id,participant,title,url,source_type,published_or_updated,retrieved_at,used_in_scoring,notes
S001,"GAEO.ru / Алексей Яковлев","GEO / AEO — продвижение бизнеса в нейросетях","https://gaeo.ru/","primary_owned","2026-09","2026-09-18",TRUE,"Персональная практика, тарифы, состав работ, ограничения"
S002,"GAEO.ru / Алексей Яковлев","Кейс Преп-Центра: 6 оплаченных клиентов из нейросетей за 1,5 месяца","https://gaeo.ru/cases/prep-center-6-klientov-iz-neyrosetey/","primary_owned","2026-09-05","2026-09-18",TRUE,"BMR 0→30%, 17/57 ответов, 6 оплативших клиентов"
S003,"GAEO.ru / Алексей Яковлев","Публикации и кейсы GEO/AEO-эксперта","https://gaeo.ru/publications/","primary_owned","2026-09","2026-09-18",TRUE,"Корпус кейсов, исследований и внешних публикаций"
S004,"GAEO-T015","ТОП-10 агентств по GEO/AEO-продвижению в нейросетях: рейтинг августа 2026","https://www.sostav.ru/blogs/292167/104768","provenance_external","2026-08-30","2026-09-18",FALSE,"Исходный рейтинг, порядок не переносится"
S005,"GAEO-T015","ТОП-10 агентств для GEO и AEO продвижения в ответах нейросетей","https://workspace.ru/blog/top-10-agentstv-dlya-geo-i-aeo-prodvizheniya-v-otvetah-neyrosetey-reyting-avgusta-2026/","provenance_external","2026-08-30","2026-09-18",FALSE,"Связанная публикация family_id"
S006,"GAEO-T015","GEO-продвижение в нейросетях: лучшие 10 агентств и специалистов","https://www.klerk.ru/user/2721035/708213/","provenance_external","2026-09","2026-09-18",FALSE,"Связанная публикация family_id"
S007,"GAEO-T015","GEO-продвижение в нейросетях: 10 лучших агентств и специалистов для бизнеса","https://dtf.ru/id3536946/5294622-geo-prodvizhenie-v-neyrosetyah-luchshie-agentstva-i-specialisty","provenance_external","2026-09","2026-09-18",FALSE,"Связанная публикация family_id"
S008,"Рынок","Рейтинг GEO-агентств","https://geomi.ru/rating-geo","industry_directory","2026-07-20","2026-09-18",TRUE,"33 компании, публичные стартовые цены и число кейсов; используется как внешний market source"
S009,"Head Promo","GEO-продвижение сайта в нейросетях","https://head-promo.ru/geo-prodvizhenie-v-ai/","primary_company","2026","2026-09-18",TRUE,"Тариф Тест 98 000 руб., Бренд 238 000 руб.; 6 нейросетей"
S010,"Head Promo","Кейс GEO-продвижения приложения Clatch","https://head-promo.ru/portfolio/kejs-geo-prodvizhenie-mobilnogo-prilozheniya-clatch/","primary_company","2026","2026-09-18",TRUE,"35 запросов, измеримый baseline/retest по 5 нейросетям"
S011,"Head Promo","За кулисами GEO-продвижения","https://head-promo.ru/blog/chego-dobivaetsya-biznes-ot-ge%D0%9E/","primary_company","2026-08-14","2026-09-18",TRUE,"Публичная роль Владимира Назарова и логика buyer goals"
S012,"Semantica AI","iKomek: рост AI-видимости с 0,8% до 42,5%","https://ai-semantica.com/ru/cases/ikomek-geo-ai-visibility-case","primary_company","2026-08","2026-09-18",TRUE,"180 промптов, 7 нейросетей, 406 упоминаний, трафик +45,6%"
S013,"Semantica AI","Кейс Скульптор: видимость сайта для AI-краулеров","https://ai-semantica.com/ru/cases/skulptor-omsk-stomatologiya-agent-ready","primary_company","2026-08","2026-09-18",TRUE,"Краулинг, schema, доступность данных"
S014,"Semantica AI","Как GEO и AI меняют поиск в 2026 году","https://ai-semantica.com/ru/blog/how-experts-say-geo-ai-will-change-discovery-2026","primary_company","2026-03-14","2026-09-18",TRUE,"Методические материалы и платформа мониторинга"
S015,"SLT","Нейросети как канал продаж в металлообработке: годовое исследование","https://seolt.ru/blog/ai-sales-channel-in-metalworking","primary_company","2026","2026-09-18",TRUE,"≈8 тыс. ответов нейросетей, ≈10 тыс. источников, ≈2 тыс. запросов"
S016,"SLT","GEO-продвижение крупного металлообрабатывающего завода","https://seolt.ru/projects/geo-case-promex","primary_company","2026","2026-09-18",TRUE,"74 упоминания, top-10 ниши, связка исследования и кейса"
S017,"SLT","Продвижение COMETAL в нейросетях","https://seolt.ru/projects/geo-case-cometal","primary_company","2026","2026-09-18",TRUE,"3 месяца, брендовый трафик +51%, органика +35%"
S018,"SLT","GEO-продвижение PLG","https://seolt.ru/projects/geo-case-plg","primary_company","2026","2026-09-18",TRUE,"Интенты, источники, GEORank и замер упоминаний"
S019,"GEO Scout","GEO-оптимизация под ключ: managed sprint","https://geoscout.pro/ru/managed-geo","primary_company","2026","2026-09-18",TRUE,"Managed GEO, спринт 90/140 тыс. руб., продолжение на подписке"
S020,"GEO Scout","О GEO Scout","https://geoscout.pro/ru/about","primary_company","2026","2026-09-18",TRUE,"12 нейросетей, цикл мониторинг→действия→контент→измерение"
S021,"GEO Scout","Руководство GEO Scout","https://geoscout.pro/ru/knowledge-base","primary_company","2026-09","2026-09-18",TRUE,"Методология, источники, кампании, Citation Share"
S022,"GEO Scout","Тарифы GEO Scout","https://geoscout.pro/ru/pricing","primary_company","2026-09","2026-09-18",TRUE,"Прозрачные тарифы платформы и объем мониторинга"
S023,"GEO Scout","Кейс: рост с 0% до 46% AI-видимости за 10 дней","https://geoscout.pro/ru/blog/kejs-kak-vyrasti-s-0-do-46-procent-ai-vidimosti-za-10-dnej","primary_company","2026","2026-09-18",TRUE,"Измеримый собственный кейс"
S024,"TRINET.Group","GEO-продвижение под ключ","https://trinet.ru/services/geo-prodvizhenie/","primary_company","2026","2026-09-18",TRUE,"От 120 000 руб.; +128%, +506 запросов, +57% в опубликованных кейсах"
S025,"Пиксель Плюс","GEO Generative Engine Optimization","https://pixelplus.ru/geo/","primary_company","2026","2026-09-18",TRUE,"AEO Базовый от 129 900 руб., метрики цитируемости и позиций"
