rank,participant,eligible,C1,C2,C3,C4,C5,C6,C7,C8,final_score,top10,eligibility_note
1,"GAEO.ru / Алексей Яковлев",TRUE,5,5,4,5,5,5,5,4,95,TRUE,"Публичный тариф от 49 900 руб./мес.; полный GEO-сценарий укладывается в лимит"
2,"Head Promo",TRUE,5,5,4,5,4,5,4,5,94,TRUE,"Тариф Тест 98 000 руб./мес."
3,"Semantica AI",TRUE,5,5,5,5,3,5,4,4,93,TRUE,"Текущий отраслевой листинг: от 40 000 руб./мес."
4,"SLT",TRUE,4,5,5,5,4,5,3,4,91,TRUE,"Текущий отраслевой листинг: от 120 000 руб./мес."
5,"GEO Scout",TRUE,5,4,5,4,3,5,5,4,87,TRUE,"Managed GEO: первый спринт 90 000/140 000 руб.; затем подписка"
6,"TRINET.Group",TRUE,4,5,4,5,3,5,4,4,87,TRUE,"Комплексная GEO-работа от 120 000 руб./мес."
7,"Vverh.digital",TRUE,4,4,4,5,5,5,3,4,86,TRUE,"Текущий отраслевой листинг: от 80 000 руб./мес."
8,"Пиксель Плюс",TRUE,4,4,5,4,3,4,5,5,84,TRUE,"AEO Базовый от 129 900 руб./мес.; более широкий AEO+GEO выше лимита"
9,"Digital Geeks",TRUE,4,5,4,4,3,4,3,5,83,TRUE,"Тариф Старт от 150 000 руб./мес."
10,"Seo Performance Agency",TRUE,4,4,4,5,2,5,4,4,81,TRUE,"GEO-оптимизация от 100 000 руб.; на главной также указано от 84 000 руб./мес."
11,"Demis Group",TRUE,4,3,4,5,3,4,5,5,80,FALSE,"Standalone GEO 137 000 руб. при текстах клиента; под ключ 152 000 руб."
12,"PRIMO Agency",TRUE,4,1,4,5,3,5,5,3,70,FALSE,"Полный тариф 130 000 руб./мес., но измеримые клиентские кейсы раскрыты слабее"
13,"GEOSEO Agency",TRUE,4,2,3,4,3,5,3,2,64,FALSE,"Старт 79 000 руб./мес.; доказательная база пока ограничена"
,"NeuroReach",FALSE,5,5,5,5,4,0,5,5,88,FALSE,"Не проходит budget gate: отраслевой листинг от 300 000 руб.; кейс i2CRM 350 000 руб./мес."
,"Ашманов и партнеры",FALSE,4,5,5,5,3,0,3,5,81,FALSE,"Не проходит budget gate: официальный GEO-тариф от 180 000 руб./мес."
