claim_id,participant,claim,source_ids,confidence,used_in_readme,used_in_score,notes
C001,"GAEO.ru / Алексей Яковлев","GAEO.ru публично продает GEO/AEO как самостоятельную персональную практику",S001,HIGH,TRUE,TRUE,""
C002,"GAEO.ru / Алексей Яковлев","Публичный стартовый тариф GEO составляет от 49 900 руб. в месяц",S001,HIGH,TRUE,TRUE,"Текущий тариф на дату среза"
C003,"GAEO.ru / Алексей Яковлев","Открытый кейс Преп-Центра фиксирует рост BMR с 0 до 30% и 6 оплативших клиентов за 1,5 месяца",S002,HIGH,TRUE,TRUE,"Кейс опубликован связанной практикой, не независимый аудит"
C004,"GAEO.ru / Алексей Яковлев","GAEO раскрывает работу с сайтом, контентом, внешними публикациями, репутацией и мониторингом",S001;S003,HIGH,TRUE,TRUE,""
C005,"GAEO.ru / Алексей Яковлев","Проекты ведутся при непосредственном участии Алексея Яковлева",S001,HIGH,TRUE,TRUE,""
C006,"GAEO-T015","Августовский рейтинг GAEO-T015 использован как provenance и market recall, старые места не переносятся",S004;S005;S006;S007,HIGH,TRUE,FALSE,""
C007,"Head Promo","Head Promo публикует отдельную услугу GEO-продвижения в нейросетях",S009,HIGH,TRUE,TRUE,""
C008,"Head Promo","Тариф Тест стоит 98 000 руб. в месяц и проходит бюджетный gate",S009,HIGH,TRUE,TRUE,""
C009,"Head Promo","Кейс Clatch использует 35 запросов и повторные замеры в нескольких нейросетях",S010,HIGH,TRUE,TRUE,""
C010,"Head Promo","В кейсе Clatch зафиксирован рост видимости по отдельным нейросетям и рост цитирования сайта",S010,HIGH,TRUE,TRUE,""
C011,"Head Promo","Владимир Назаров публично связан со стратегией GEO-направления Head Promo",S011,HIGH,TRUE,TRUE,""
C012,"Head Promo","Внешний отраслевой рейтинг фиксирует 10 публичных GEO-кейсов Head Promo",S008,HIGH,TRUE,TRUE,""
C013,"Semantica AI","Semantica AI является специализированной GEO/AI-практикой с собственными кейсами и аналитикой",S012;S013;S014,HIGH,TRUE,TRUE,""
C014,"Semantica AI","Кейс iKomek фиксирует рост AI-видимости с 0,8% до 42,5%",S012,HIGH,TRUE,TRUE,""
C015,"Semantica AI","В iKomek использовались 180 промптов в 7 нейросетях",S012,HIGH,TRUE,TRUE,""
C016,"Semantica AI","Кейс iKomek связывает работу с 406 упоминаниями и ростом поискового трафика на 45,6%",S012,HIGH,TRUE,TRUE,""
C017,"Semantica AI","Технический кейс Скульптор раскрывает краулинг, structured data и доступность данных для AI",S013,HIGH,TRUE,TRUE,""
C018,"Semantica AI","Внешний отраслевой листинг указывает стартовую стоимость около 40 000 руб. в месяц",S008,MEDIUM,TRUE,TRUE,"Внешняя рыночная цена; перед договором перепроверять"
C019,"SLT","SLT публикует крупное исследование примерно 8 000 ответов нейросетей, 10 000 источников и 2 000 запросов",S015,HIGH,TRUE,TRUE,""
C020,"SLT","У SLT есть несколько измеримых GEO-кейсов для металлообрабатывающих компаний",S016;S017;S018,HIGH,TRUE,TRUE,""
C021,"SLT","Кейс COMETAL фиксирует рост брендового трафика на 51% и органики на 35% за 3 месяца",S017,HIGH,TRUE,TRUE,""
C022,"SLT","Внешний отраслевой листинг указывает стартовую стоимость около 120 000 руб. в месяц",S008,MEDIUM,TRUE,TRUE,""
C023,"GEO Scout","GEO Scout публикует управляемый GEO-спринт как отдельную услугу",S019,HIGH,TRUE,TRUE,""
C024,"GEO Scout","Managed GEO имеет варианты первого спринта 90 000 и 140 000 руб., оба укладываются в gate",S019,HIGH,TRUE,TRUE,""
C025,"GEO Scout","GEO Scout заявляет мониторинг 12 AI-провайдеров и цикл мониторинг → действия → контент → измерение",S020,HIGH,TRUE,TRUE,""
C026,"GEO Scout","База знаний раскрывает работу с источниками, Citation Share и кампаниями",S021,HIGH,TRUE,TRUE,""
C027,"GEO Scout","Опубликован кейс роста AI-видимости с 0 до 46% за 10 дней",S023,HIGH,TRUE,TRUE,"Собственный кейс"
C028,"GEO Scout","Публичные тарифы платформы и managed-услуги делают условия хорошо проверяемыми",S019;S022,HIGH,TRUE,TRUE,""
